Time (s),Power (W)
1543,-279.8600561
1544,247.1429031
1545,188.9895579
1546,218.1647693
1547,-276.1330153
1548,-130.5098621
1549,629.5077762
1550,2130.173662
1551,72.16537077
1552,-2180.86164
1553,-1528.5369
1554,-2984.444839
1555,-1198.981631
1556,82.68883629
1557,1123.947107
1558,511.8308988
1559,714.2664294
1560,1281.612302
1561,1873.292616
1562,3100.892797
1563,4201.297475
1564,4006.797427
1565,3204.899463
1566,916.8801699
1567,2571.482102
1568,2553.146447
1569,3706.434117
1570,3512.280294
1571,2900.336849
1572,1337.190453
1573,1207.572585
1574,2025.640104
1575,1870.938124
1576,1589.429916
1577,880.0242134
1578,-229.3215988
1579,-105.5245024
1580,650.9497253
1581,1644.758774
1582,1962.199188
1583,1621.902511
1584,609.1279591
1585,629.8572655
1586,1358.940429
1587,2626.230854
1588,2806.047328
1589,2583.828421
1590,1713.354019
1591,668.6165827
1592,1309.765542
1593,2588.057979
1594,4050.535128
1595,3857.009993
1596,2369.048076
1597,876.3554412
1598,512.5744377
1599,1146.883824
1600,1870.118605
1601,2572.900476
1602,2053.974458
1603,1104.881749
1604,925.5764856
1605,1350.551369
1606,2892.865265
1607,3085.598558
1608,2661.679822
1609,1132.534698
1610,295.1329723
1611,414.5455808
1612,1938.46607
1613,2733.860741
1614,2415.74724
1615,1276.597652
1616,363.7408546
1617,337.4538563
1618,1048.518138
1619,2030.286026
1620,1341.317433
1621,657.9536632
1622,-271.8918491
1623,-294.9927289
1624,561.879962
1625,2007.58034
1626,3040.487556
1627,1963.521427
1628,815.2863154
1629,150.6674166
1630,247.7276562
1631,1215.899328
1632,1817.530086
1633,1320.014968
1634,2.726817479
1635,586.5228666
1636,-271.9485822
1637,1291.061535
1638,1966.127989
1639,1797.226438
1640,1275.503464
1641,507.5554109
1642,682.1223596
1643,1817.942073
1644,3060.611884
1645,3279.441017
1646,2458.095459
1647,2267.113059
1648,1117.147368
1649,1363.373837
1650,2900.326284
1651,2714.182508
1652,1717.905976
1653,-182.9668838
1654,-1029.386806
1655,-1087.031068
1656,-151.0926867
1657,704.5708516
1658,2004.194153
1659,934.8176646
1660,-734.5932149
1661,-1420.535945
1662,1021.452519
1663,2262.349046
1664,1934.375231
1665,513.5900866
1666,-2.481088446
1667,7.346131374
1668,829.63454
1669,1213.851065
1670,1160.137499
1671,584.3094818
1672,-1095.256229
1673,-1827.697844
1674,-1443.331901
1675,-465.7338007
1676,-125.6299261
1677,-278.8703285
1678,-1337.52444
1679,-2798.056671
1680,-2107.349075
1681,-1558.242126
1682,-592.3332309
1683,-490.624153
1684,-945.1297418
1685,-1345.956932
1686,-484.8185398
1687,-303.6398208
1688,-296.4004284
1689,-606.6335595
1690,-2280.008757
1691,-3158.724976
1692,-1561.05346
1693,-803.9146008
1694,-48.59292427
1695,-522.0536273
1696,-748.7733724
1697,-2046.801095
1698,-1361.823895
1699,-1529.84037
1700,-1204.520947
1701,-648.900824
1702,-56.82636355
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,69.73455927
1717,1140.48943
1718,2278.758442
1719,3352.196684
1720,4162.798862
1721,4650.332568
1722,4214.301863
1723,3955.55382
1724,2052.739265
1725,3648.671096
1726,4445.650804
1727,4745.00536
1728,5033.093287
1729,1921.615737
1730,2056.080346
1731,2270.505844
1732,3776.454295
1733,4365.473027
1734,3822.935167
1735,778.0233477
1736,849.7951081
1737,791.6681428
1738,1228.367933
1739,3027.833508
1740,4172.412024
1741,2180.418657
1742,229.5343971
1743,755.8121675
1744,1923.564521
1745,2659.165328
1746,2286.3066
1747,1502.246708
